         4554614 function calls (4553858 primitive calls) in 15.035 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      187    4.764    0.025    4.764    0.025 {built-in method tcod._libtcod_cp35_x64.TCOD_console_flush}
      187    2.677    0.014    5.894    0.032 main.py:502(update)
       35    2.323    0.066    2.324    0.066 main.py:468(evaporate)
     1122    0.886    0.001    2.320    0.002 __init__.py:925(_set_batch)
  1821356    0.794    0.000    0.794    0.000 {built-in method tcod._libtcod_cp35_x64.TDL_console_put_char_ex}
       36    0.723    0.020    0.724    0.020 main.py:447(make_path)
  1735318    0.661    0.000    1.420    0.000 __init__.py:913(_set_char)
      376    0.494    0.001    0.494    0.001 {built-in method tcod._libtcod_cp35_x64.TCOD_console_blit}
      176    0.319    0.002    1.122    0.006 main.py:518(render)
       12    0.156    0.013    0.158    0.013 main.py:455(draw_path)
    78400    0.132    0.000    0.132    0.000 functions.py:4(shade_color)
      188    0.123    0.001    0.123    0.001 {built-in method tcod._libtcod_cp35_x64.TCOD_console_clear}
        1    0.105    0.105    0.259    0.259 main.py:412(make_grass)
   174712    0.101    0.000    0.119    0.000 __init__.py:147(_format_color)
    86038    0.090    0.000    0.264    0.000 __init__.py:383(draw_char)
    78400    0.075    0.000    0.075    0.000 {built-in method noise._perlin.noise3}
        1    0.075    0.075    0.150    0.150 main.py:426(make_puddles)
        1    0.056    0.056    0.056    0.056 {built-in method tcod._libtcod_cp35_x64.TCOD_console_init_root}
        1    0.046    0.046    0.699    0.699 main.py:379(generate_world)
     5355    0.041    0.000    0.155    0.000 main.py:678(move)
     4745    0.040    0.000    0.053    0.000 main.py:699(choose_dir)
    78400    0.023    0.000    0.023    0.000 {built-in method noise._simplex.noise2}
    86412    0.018    0.000    0.022    0.000 __init__.py:100(_format_char)
     5355    0.017    0.000    0.172    0.000 main.py:767(update)
      374    0.016    0.000    2.319    0.006 __init__.py:472(draw_rect)
   101855    0.014    0.000    0.014    0.000 {built-in method builtins.isinstance}
     5425    0.013    0.000    0.029    0.000 random.py:170(randrange)
     6035    0.012    0.000    0.017    0.000 random.py:220(_randbelow)
      188    0.009    0.000    5.916    0.031 main.py:252(update)
101043/100964    0.009    0.000    0.009    0.000 {built-in method builtins.len}
      378    0.008    0.000    0.008    0.000 {built-in method tcod._libtcod_cp35_x64.TCOD_sys_check_for_event}
        8    0.008    0.001    0.008    0.001 {method 'read' of '_io.BufferedReader' objects}
     4690    0.007    0.000    0.007    0.000 main.py:480(wear_path)
     4690    0.007    0.000    0.007    0.000 main.py:488(search_pheromone)
     9685    0.007    0.000    0.007    0.000 {built-in method builtins.max}
     1875    0.006    0.000    0.006    0.000 __init__.py:216(_normalizePoint)
     5608    0.006    0.000    0.006    0.000 main.py:348(check_on_screen)
     5350    0.005    0.000    0.005    0.000 __init__.py:786(__contains__)
      176    0.005    0.000    0.036    0.000 main.py:618(draw)
      175    0.005    0.000    0.179    0.001 main.py:612(update)
      375    0.005    0.000    0.016    0.000 event.py:310(_processEvents)
       40    0.005    0.000    0.005    0.000 {built-in method marshal.loads}
     5355    0.005    0.000    0.005    0.000 functions.py:114(tiles_in_front)
     5425    0.005    0.000    0.034    0.000 random.py:214(randint)
     7833    0.005    0.000    0.014    0.000 __init__.py:455(_drawStrGen)
      187    0.005    0.000    0.059    0.000 main.py:229(draw_ui)
      797    0.004    0.000    0.005    0.000 {method 'encode' of 'str' objects}
    10913    0.004    0.000    0.004    0.000 {method 'getrandbits' of '_random.Random' objects}
    29525    0.004    0.000    0.004    0.000 __init__.py:516(<genexpr>)
     1127    0.004    0.000    0.010    0.000 __init__.py:233(_normalizeRect)
      376    0.004    0.000    0.506    0.001 __init__.py:569(blit)
    11/10    0.003    0.000    0.004    0.000 {built-in method _imp.create_dynamic}
  115/114    0.003    0.000    0.005    0.000 {built-in method builtins.__build_class__}
      748    0.003    0.000    0.034    0.000 __init__.py:412(draw_str)
      187    0.003    0.000    8.297    0.044 main.py:308(render)
     1126    0.003    0.000    0.003    0.000 {method 'new' of 'CompiledFFI' objects}
      748    0.003    0.000    0.009    0.000 __init__.py:118(_format_str)
     4759    0.003    0.000    0.003    0.000 {method 'add' of 'set' objects}
     1563    0.003    0.000    0.003    0.000 {method 'format' of 'str' objects}
     5355    0.003    0.000    0.003    0.000 main.py:696(change_direction)
      188    0.002    0.000    0.129    0.001 __init__.py:901(clear)
       84    0.002    0.000    0.002    0.000 __init__.py:657(__iter__)
        1    0.002    0.002   15.053   15.053 main.py:1(<module>)
      172    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1215(find_spec)
     2940    0.002    0.000    0.002    0.000 main.py:653(get_symbol)
     44/1    0.002    0.000   15.053   15.053 {built-in method builtins.exec}
    15147    0.002    0.000    0.002    0.000 __init__.py:517(<genexpr>)
      187    0.002    0.000    4.772    0.026 __init__.py:1138(flush)
      378    0.002    0.000    0.002    0.000 event.py:387(_event_generator)
      375    0.002    0.000    0.017    0.000 event.py:372(get)
        5    0.002    0.000    0.002    0.000 {built-in method tcod._libtcod_cp35_x64.TCOD_console_new}
     2566    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
     4488    0.002    0.000    0.002    0.000 {built-in method builtins.chr}
      792    0.002    0.000    0.002    0.000 {built-in method _warnings.warn}
    61/14    0.001    0.000    0.004    0.000 sre_parse.py:491(_parse)
        2    0.001    0.001    0.001    0.001 {built-in method _ctypes.dlopen}
      280    0.001    0.000    0.001    0.000 {built-in method posix.stat}
        1    0.001    0.001    0.003    0.003 __init__.py:22(_import_library_functions)
     2538    0.001    0.000    0.001    0.000 {built-in method builtins.min}
        4    0.001    0.000    0.001    0.000 {built-in method posix.read}
      187    0.001    0.000    2.302    0.012 main.py:226(draw_bounds)
     6035    0.001    0.000    0.001    0.000 {method 'bit_length' of 'int' objects}
      610    0.001    0.000    0.003    0.000 main.py:760(turn)
      610    0.001    0.000    0.003    0.000 random.py:250(choice)
      748    0.001    0.000    0.001    0.000 {method 'frombytes' of 'array.array' objects}
      376    0.001    0.000    0.002    0.000 __init__.py:159(_to_tcod_color)
     7995    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
      860    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:52(<listcomp>)
      860    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:50(_path_join)
   133/12    0.001    0.000    0.002    0.000 sre_compile.py:64(_compile)
        4    0.001    0.000    0.001    0.000 {built-in method _posixsubprocess.fork_exec}
        2    0.001    0.000    0.006    0.003 main.py:214(draw_borders)
      188    0.001    0.000    0.001    0.000 {built-in method tcod._libtcod_cp35_x64.TCOD_console_set_default_foreground}
      792    0.001    0.000    0.005    0.000 style.py:23(deprecated_function)
       40    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:816(get_data)
      610    0.001    0.000    0.001    0.000 functions.py:150(turn)
      210    0.001    0.000    0.001    0.000 functions.py:39(alpha_blend_color)
  237/116    0.001    0.000    0.001    0.000 sre_parse.py:167(getwidth)
       52    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap>:879(_find_spec)
      659    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      532    0.000    0.000    0.000    0.000 sre_parse.py:226(__next)
       52    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1101(_get_spec)
      614    0.000    0.000    0.001    0.000 sre_parse.py:157(__getitem__)
     1804    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        5    0.000    0.000    0.001    0.000 enum.py:88(__new__)
        4    0.000    0.000    0.003    0.001 subprocess.py:1428(_execute_child)
      187    0.000    0.000    0.000    0.000 __init__.py:1002(_translate)
      862    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:366(_verbose_message)
        1    0.000    0.000    0.004    0.004 main.py:393(<listcomp>)
      250    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x7fd96122a280}
       40    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:729(get_code)
     52/4    0.000    0.000    0.062    0.016 <frozen importlib._bootstrap>:966(_find_and_load)
       51    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:510(_init_module_attrs)
        1    0.000    0.000    0.003    0.003 main.py:396(<listcomp>)
